context_utt,context_freq,context_parse,response_da,response_nl1,response_nl2,response_nl3,context_utt_l,context_parse_l,response_da_l,response_nl1_l,response_nl2_l,response_nl3_l
best connection at *NUMBER *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")",At *DEPARTURE_TIME by *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.,Take the *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,best connection at eight pm,"inform(departure_time=""8:00"")&inform(ampm=""*AMPM"")","inform(from_stop=""Broad Street"")&inform(departure_time=""8:00pm"")&inform(vehicle=""bus"")&inform(direction=""Cortlandt Street"")&inform(line=""M101"")",At 8:00pm by bus line M101 from Broad Street to Cortlandt Street.,Take the M101 bus at 8:00pm from Broad Street to Cortlandt Street.,Take line M101 bus at 8:00pm from Broad Street direction Cortlandt Street.
no i would like to go to *STOP,1,"inform(to_stop=""*STOP"")",request(from_stop),And where are you coming from?,Can you please confirm from where?,Where do you want to go from?,no i would like to go to Prince Street,"inform(to_stop=""*STOP"")",request(from_stop),And where are you coming from?,Can you please confirm from where?,Where do you want to go from?
i want to travel from *STOP,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")","Yes, from *FROM_STOP.","Yes, from *FROM_STOP.",From *FROM_STOP.,i want to travel from City Hall,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""City Hall"")","Yes, from City Hall.","Yes, from City Hall.",From City Hall.
what about a connection at *NUMBER *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")","I'm sorry, I cannot find an *DEPARTURE_TIME *AMPM route.",Sorry but I could not find any connection at *DEPARTURE_TIME *AMPM.,"Apologies, a connection at *DEPARTURE_TIME *AMPM is not found.",what about a connection at eight pm,"inform(departure_time=""8:00"")&inform(ampm=""pm"")","inform_no_match(departure_time=""8:00"")&inform_no_match(ampm=""pm"")","I'm sorry, I cannot find an 8:00 evening route.",Sorry but I could not find any connection at 8:00 pm.,"Apologies, a connection at 8:00 pm is not found."
i need to find out the connection in *NUMBER minutes,1,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")","inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")","Yes, *VEHICLE line *LINE going from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.",Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,You have to take a *VEHICLE at *DEPARTURE_TIME in the line *LINE from *FROM_STOP to *DIRECTION.,i need to find out the connection in thirty minutes,"inform(departure_time_rel=""0:30_REL"")","inform(from_stop=""Columbus Circle"")&inform(direction=""Columbia University"")&inform(departure_time=""5:17pm"")&inform(line=""E"")&inform(vehicle=""subway"")","Yes, subway line E going from Columbus Circle to Columbia University at 5:17pm.",Take line E subway at 5:17pm from Columbus Circle direction Columbia University.,You have to take a subway at 5:17pm in the line E from Columbus Circle to Columbia University.
is there a schedule at *NUMBER o'clock *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&request(from_stop)&request(to_stop)","At *DEPARTURE_TIME *AMPM, from what station and to what direction?",*DEPARTURE_TIME *AMPM? From where to where?,From which stop to which stop at *DEPARTURE_TIME *AMPM?,is there a schedule at ten o'clock pm,"inform(departure_time=""10:00"")&inform(ampm=""pm"")","iconfirm(departure_time=""10:00"")&iconfirm(ampm=""pm"")&request(from_stop)&request(to_stop)","At 10:00 pm, from what station and to what direction?",10:00 pm? From where to where?,From which stop to which stop at 10:00 pm?
i want to go to *STOP,8,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",To *TO_STOP.,You would like to go to *TO_STOP.,Go to *TO_STOP.,i want to go to Columbia University,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Columbia University"")",To Columbia University.,You would like to go to Columbia University.,Go to Columbia University.
no *NUMBER *AMPM,1,"inform(ampm=""*AMPM"")","inform_no_match(ampm=""*AMPM"")",The trip this *AMPM is not found.,I apologize but such a route not found for *AMPM.,I did not find information about an *AMPM trip.,no *NUMBER pm,"inform(ampm=""pm"")","inform_no_match(ampm=""pm"")",The trip this afternoon is not found.,I apologize but such a route not found for afternoon.,I did not find information about an evening trip.
no i want to arrive at *STOP,2,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",From where to *TO_STOP stop?,"To *TO_STOP, what station are you coming from?",I understand that you want to arrive at *TO_STOP. Where are you coming from.,no i want to arrive at Marble Hill,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Marble Hill"")&request(from_stop)",From where to Marble Hill stop?,"To Marble Hill, what station are you coming from?",I understand that you want to arrive at Marble Hill. Where are you coming from.
i'm going from *STOP and heading to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",I'm sorry I cannot find a connection from *FROM_STOP to *TO_STOP.,"I'm sorry, I was not able to find you a route from *FROM_STOP to *TO_STOP.",A route from *FROM_STOP to *TO_STOP is not found.,i'm going from Chambers Street and heading to Rector Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Chambers Street"")&inform_no_match(to_stop=""Rector Street"")",I'm sorry I cannot find a connection from Chambers Street to Rector Street.,"I'm sorry, I was not able to find you a route from Chambers Street to Rector Street.",A route from Chambers Street to Rector Street is not found.
is there a connection at *NUMBER in the *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&request(from_stop)&request(to_stop)",Where do you want to go to and from at *DEPARTURE_TIME *AMPM.,OK you need a connection at *DEPARTURE_TIME *AMPM but I need you to tell me where you come from and where you are going?,You want a connection at *DEPARTURE_TIME *AMPM but I need you to tell me where are you come from and where are you going?,is there a connection at eight in the evening,"inform(departure_time=""8:00"")&inform(ampm=""pm"")","iconfirm(departure_time=""8:00"")&iconfirm(ampm=""pm"")&request(from_stop)&request(to_stop)",Where do you want to go to and from at 8:00 pm.,OK you need a connection at 8:00 pm but I need you to tell me where you come from and where you are going?,You want a connection at 8:00 pm but I need you to tell me where are you come from and where are you going?
what's the connection at *NUMBER,1,"inform(departure_time=""*DEPARTURE_TIME"")","inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")",The *LINE connection at *DEPARTURE_TIME is a *VEHICLE from *FROM_STOP to *DIRECTION.,Just take a *VEHICLE in the line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,The *VEHICLE connection is line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,what's the connection at nine,"inform(departure_time=""9:00"")","inform(line=""M106"")&inform(departure_time=""9:04am"")&inform(from_stop=""Inwood"")&inform(vehicle=""bus"")&inform(direction=""Union Square"")",The M106 connection at 9:04am is a bus from Inwood to Union Square.,Just take a bus in the line M106 at 9:04am from Inwood to Union Square.,The bus connection is line M106 at 9:04am from Inwood to Union Square.
how long will the ride be,1,request(distance),"inform(distance=""*DISTANCE"")",It is *DISTANCE long.,It will be *DISTANCE.,It will be *DISTANCE.,how long will the ride be,request(distance),"inform(distance=""0.1 miles"")",It is 0.1 miles long.,It will be 0.1 miles.,It will be 0.1 miles.
when will i reach my destination,1,request(arrival_time),"inform(arrival_time=""*ARRIVAL_TIME"")",At *ARRIVAL_TIME.,You will arrive at *ARRIVAL_TIME.,It arrives at *ARRIVAL_TIME.,when will i reach my destination,request(arrival_time),"inform(arrival_time=""2:18pm"")",At 2:18pm.,You will arrive at 2:18pm.,It arrives at 2:18pm.
i need to go from *STOP to *STOP,13,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")",At *DEPARTURE_TIME by *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.,There is a *VEHICLE at *DEPARTURE_TIME going from *FROM_STOP to *DIRECTION using line *LINE.,Please use the *DEPARTURE_TIME *LINE *VEHICLE from *FROM_STOP to *DIRECTION.,i need to go from Astor Place to Bryant Park,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(direction=""Bryant Park"")&inform(vehicle=""subway"")&inform(from_stop=""Astor Place"")&inform(line=""R"")&inform(departure_time=""8:10am"")",At 8:10am by subway line R from Astor Place to Bryant Park.,There is a subway at 8:10am going from Astor Place to Bryant Park using line R.,Please use the 8:10am R subway from Astor Place to Bryant Park.
i am traveling to *STOP,1,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",Sorry sir but I cannot found the directions to *TO_STOP in the database.,"I'm sorry, information for traveling to *TO_STOP is not found.","I apologize, the schedule for *TO_STOP is not found.",i am traveling to Bryant Park,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Bryant Park"")",Sorry sir but I cannot found the directions to Bryant Park in the database.,"I'm sorry, information for traveling to Bryant Park is not found.","I apologize, the schedule for Bryant Park is not found."
how long will it take to get to the destination and what time will i get there,1,request(arrival_time)&request(duration),"inform(duration=""*DURATION"")&inform(arrival_time=""*ARRIVAL_TIME"")",It will take *DURATION and you will reach your destination at *ARRIVAL_TIME.,It will take *DURATION and the arrival time is *ARRIVAL_TIME.,The journey will take *DURATION and you will arrive at *ARRIVAL_TIME.,how long will it take to get to the destination and what time will i get there,request(arrival_time)&request(duration),"inform(duration=""49 minutes"")&inform(arrival_time=""10:30pm"")",It will take 49 minutes and you will reach your destination at 10:30pm.,It will take 49 minutes and the arrival time is 10:30pm.,The journey will take 49 minutes and you will arrive at 10:30pm.
ok what if i leave at around *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&request(from_stop)&request(to_stop)",You want to go where and from where at *DEPARTURE_TIME *AMPM?,From where to where at *DEPARTURE_TIME *AMPM?,Where are you leaving from and where do you want to go to at *DEPARTURE_TIME *AMPM?,ok what if i leave at around eight pm,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")","iconfirm(departure_time=""8:00"")&iconfirm(ampm=""pm"")&request(from_stop)&request(to_stop)",You want to go where and from where at 8:00 pm?,From where to where at 8:00 pm?,Where are you leaving from and where do you want to go to at 8:00 pm?
yeah i do want to depart from *STOP,1,"confirm(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")",Departing from *FROM_STOP.,I understand that you want to go from *FROM_STOP.,"Yes OK then sir, from *FROM_STOP.",yeah i do want to depart from Washington Square,"confirm(from_stop=""*STOP"")","iconfirm(from_stop=""Washington Square"")",Departing from Washington Square.,I understand that you want to go from Washington Square.,"Yes OK then sir, from Washington Square."
what's the connection at *NUMBER,1,"inform(departure_time=""*DEPARTURE_TIME"")","iconfirm(departure_time=""*DEPARTURE_TIME"")",You're looking for the connection at *DEPARTURE_TIME.,I understand the connection at *DEPARTURE_TIME.,I understand that you want to know the connection at *DEPARTURE_TIME.,what's the connection at twelve,"inform(departure_time=""12:00"")","iconfirm(departure_time=""12:00"")",You're looking for the connection at 12:00.,I understand the connection at 12:00.,I understand that you want to know the connection at 12:00.
i'm going to *STOP,2,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",From which place to *TO_STOP?,Going to *TO_STOP from where?,OK sir I know you want to go to *TO_STOP but from where do you want to go there?,i'm going to Park Place,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Park Place"")&request(from_stop)",From which place to Park Place?,Going to Park Place from where?,OK sir I know you want to go to Park Place but from where do you want to go there?
ok can i go to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)","To *TO_STOP, from what station?",You need transport from where to *TO_STOP?,Going to *TO_STOP but where are you leaving from?,ok can i go to Columbia University,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Columbia University"")&request(from_stop)","To Columbia University, from what station?",You need transport from where to Columbia University?,Going to Columbia University but where are you leaving from?
how to travel from *STOP,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)",So you want to go to where exactly from *FROM_STOP?,Where you would like to go from *FROM_STOP?,"You want to go from *FROM_STOP, where would you like to go to?",how to travel from Washington Square,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Washington Square"")&request(to_stop)",So you want to go to where exactly from Washington Square?,Where you would like to go from Washington Square?,"You want to go from Washington Square, where would you like to go to?"
how long is it how many transfers and what is the distance of,1,request(num_transfers)&request(distance),"inform(distance=""*DISTANCE"")&inform(num_transfers=""*NUM_TRANSFERS"")",You will be going *NUM_TRANSFERS transfers and a distance of *DISTANCE.,Only *NUM_TRANSFERS transfers and distance is *DISTANCE.,It is *DISTANCE and requires *NUM_TRANSFERS transfers.,how long is it how many transfers and what is the distance of,request(num_transfers)&request(distance),"inform(distance=""1.0 miles"")&inform(num_transfers=""2"")",You will be going 2 transfers and a distance of 1.0 miles.,Only 2 transfers and distance is 1.0 miles.,It is 1.0 miles and requires 2 transfers.
how to travel to *STOP,1,"inform(to_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")","To reach *DIRECTION, take *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP.","From *FROM_STOP to *DIRECTION, take *LINE *VEHICLE at *DEPARTURE_TIME.",There is a *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,how to travel to Times Square,"inform(to_stop=""*STOP"")","inform(from_stop=""Columbus Circle"")&inform(departure_time=""8:10am"")&inform(line=""B"")&inform(direction=""Times Square"")&inform(vehicle=""subway"")","To reach Times Square, take subway B at 8:10am from Columbus Circle.","From Columbus Circle to Times Square, take B subway at 8:10am.",There is a subway line B from Columbus Circle to Times Square at 8:10am.
