Testing connection to the update server..
i would like to get from the manhattan to the central park	i would like to get from the *BOROUGH to the *STOP	inform(to_stop="Central Park")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
yeah i need to find a connection from broadway queens to roosevelt avenue	yeah i need to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")&affirm()	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")&affirm()
		silence()	silence()
		silence()	silence()
royal avenue	*CITY *CITY	inform(from_city="Royal")&inform(to_city="Avenue")	inform(from_city="*CITY")&inform(to_city="*CITY")
what's the weather in queens	what's the weather in *BOROUGH	inform(in_borough="Queens")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the duration of the distance of the trip	what is the duration of the distance of the trip	request(duration)&request(distance)	request(duration)&request(distance)
is there a connection in twenty minutes	is there a connection in *NUMBER minutes	inform(departure_time_rel="0:20")&inform(task="find_connection")	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want a connection	i want a connection	inform(task="find_connection")	inform(task="find_connection")
depart in twenty minutes	depart in *NUMBER minutes	inform(time_rel="0:20")	inform(time_rel="*TIME_REL")
avenue	*CITY	inform(city="Avenue")	inform(city="*CITY")
		silence()	silence()
new connection	new connection	inform(task="find_connection")&restart()	inform(task="find_connection")&restart()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to find a connection from broadway queens to roosevelt avenue	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
i need to find out the connection in twenty minutes	i need to find out the connection in *NUMBER minutes	inform(departure_time_rel="0:20")&inform(task="find_connection")	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")
		silence()	silence()
okay and what is the weather forecast and the time	okay and what is the weather forecast and the time	inform(task="weather")&ack()	inform(task="weather")&ack()
what is the weather in queens	what is the weather in *BOROUGH	inform(in_borough="Queens")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(task="weather")
what time is it in queens right now	what time is it in *BOROUGH right *TIME	inform(in_borough="Queens")&inform(time_rel="now")&request(current_time)	inform(in_borough="*BOROUGH")&inform(time_rel="*TIME_REL")&request(current_time="*CURRENT_TIME")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
yes can you make	yes can you make	affirm()	affirm()
		silence()	silence()
five o'clock	*NUMBER o'clock	inform(time="5:00")	inform(time="*TIME")
at five p m	at *NUMBER *AMPM	inform(time="5:00")&inform(ampm="pm")	inform(time="*TIME")&inform(ampm="*AMPM")
		silence()	silence()
		silence()	silence()
what is the duration	what is the duration	request(duration)	request(duration)
hello	hello	hello()	hello()
		silence()	silence()
okay	okay	ack()	ack()
		silence()	silence()
		silence()	silence()
bye thank you	bye thank you	bye()&thankyou()	bye()&thankyou()
i'm done stop	i'm done stop	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
connections	connections	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
columbus	*CITY	inform(city="Columbus")	inform(city="*CITY")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
twenty minutes	*NUMBER minutes	inform(time="0:20")	inform(time="*TIME")
broadway queens to roosevelt avenue	*STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
what is the weather like	what is the weather like	inform(task="weather")	inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
i want to go from broadway queens to roosevelt avenue	i want to go from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the weather like in	what is the weather like in	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to find a connection from broadway queen to roosevelt avenue	i want to find a connection from *STREET queen to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(task="find_connection")
and i want to know about the duration of the trip the distance of the trip and	and i want to know about the duration of the trip the distance of the trip and	request(duration)&request(distance)	request(duration)&request(distance)
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
duration	duration	null()	null()
		silence()	silence()
weather for that	weather for that	inform(task="weather")	inform(task="weather")
		silence()	silence()
yes	yes	affirm()	affirm()
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
zero	*NUMBER	null()	null()
i need to find a connection from broadway queen	i need to find a connection from *STREET queen	inform(from_street="Broadway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(task="find_connection")
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
i would like to know the weather forecast for queens new york	i would like to know the weather forecast for *BOROUGH *CITY	inform(in_borough="Queens")&inform(in_city="New York")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(in_city="*CITY")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
what is the duration	what is the duration	request(duration)	request(duration)
		silence()	silence()
i need a weather forecast for	i need a weather forecast for	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to find a connection from broadway queens to roosevelt avenue how long will it take and how far is it	i want to find a connection from *STREET *BOROUGH to *STREET how long will it take and how far is it	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")&request(duration)&request(distance)	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")&request(duration)&request(distance)
i want the weather forecast and the time	i want the weather forecast and the time	inform(task="weather")	inform(task="weather")
find a connection from broadway in queens to roosevelt avenue	find a connection from *STREET in *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
connection from broadway in queens to roosevelt avenue	connection from *STREET in *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
good bye	good bye	bye()	bye()
		silence()	silence()
i am looking for a connection	i am looking for a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
broadway queens to roosevelt avenue	*STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i would like to go from broadway queens to roosevelt avenue	i would like to go from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
what time is it now	what time is it *TIME	inform(time_rel="now")&request(current_time)	inform(time_rel="*TIME_REL")&request(current_time="*CURRENT_TIME")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
broadway	*STREET	inform(street="Broadway")	inform(street="*STREET")
good bye	good bye	bye()	bye()
		silence()	silence()
connection from broadway queens to roosevelt avenue	connection from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
time for broadway queens to roosevelt avenue	time for *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="Roosevelt Ave")&inform(in_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(in_borough="*BOROUGH")
		silence()	silence()
